language,question,document_title,document,document_answer_region
english,"['What', 'is', 'a', 'way', 'to', 'increase', 'your', 'wound', 'healing', 'speed', '?']","['Wound', 'healing']","['Wound', 'care', 'encourages', 'and', 'speeds', 'wound', 'healing', 'via', 'cleaning', 'and', 'protection', 'from', 'reinjury', 'or', 'infection', '.', 'Depending', 'on', 'each', 'patient', ""'s"", 'needs', ',', 'it', 'can', 'range', 'from', 'the', 'simplest', 'first', 'aid', 'to', 'entire', 'nursing', 'specialties', 'such', 'as', 'wound', ',', 'ostomy', ',', 'and', 'continence', 'nursing', 'and', 'burn', 'center', 'care', '.']",-3
english,"['Who', 'founded', 'the', 'Burntisland', 'Shipbuilding', 'Company', '?']","['Burntisland', 'Shipbuilding', 'Company']","['Brothers', 'Amos', 'and', 'Wilfrid', 'Ayre', 'founded', 'Burntisland', 'Shipbuilding', 'Co.', 'in', '1918', 'as', 'a', 'First', 'World', 'War', 'emergency', 'shipyard', '.[1', ']', 'Its', 'yard', 'at', 'Burntisland', 'West', 'Dock', 'had', 'four', 'berths', 'and', 'capacity', 'to', 'build', 'ships', 'up', 'to', '450', 'feet', '(', '140', 'm', ')', 'long', '[1', ']', 'and', 'up', 'to', '59', 'feet', '(', '18', 'm', ')', 'beam', '.[3', ']', 'However', ',', 'until', 'the', '1950s', 'Burntisland', 'built', 'relatively', 'few', 'vessels', 'more', 'than', 'about', '425', 'feet', '(', '130', 'm', ')', 'long', 'and', '57', 'feet', '(', '17.4', 'm', ')', 'beam', '.[3', ']']",-3
english,"['What', 'is', 'the', 'surface', 'area', 'of', 'the', 'human', 'cortex', '?']","['Cerebral', 'cortex']","['For', 'species', 'of', 'mammals', ',', 'larger', 'brains', '(', 'in', 'absolute', 'terms', ',', 'not', 'just', 'in', 'relation', 'to', 'body', 'size', ')', 'tend', 'to', 'have', 'thicker', 'cortices', '.[6', ']', 'The', 'smallest', 'mammals', ',', 'such', 'as', 'shrews', ',', 'have', 'a', 'neocortical', 'thickness', 'of', 'about', '0.5', 'mm', ';', 'the', 'ones', 'with', 'the', 'largest', 'brains', ',', 'such', 'as', 'humans', 'and', 'fin', 'whales', ',', 'have', 'thicknesses', 'of', '2.3–2.8', 'mm', '.', 'There', 'is', 'an', 'approximately', 'logarithmic', 'relationship', 'between', 'brain', 'weight', 'and', 'cortical', 'thickness', '.[6', ']', '\n', 'Magnetic', 'resonance', 'imaging', 'of', 'the', 'brain', '(', 'MRI', ')', 'makes', 'it', 'possible', 'to', 'get', 'a', 'measure', 'for', 'the', 'thickness', 'of', 'the', 'human', 'cerebral', 'cortex', 'and', 'relate', 'it', 'to', 'other', 'measures', '.', 'The', 'thickness', 'of', 'different', 'cortical', 'areas', 'varies', 'but', 'in', 'general', ',', 'sensory', 'cortex', 'is', 'thinner', 'than', 'motor', 'cortex', '.[7', ']', 'One', 'study', 'has', 'found', 'some', 'positive', 'association', 'between', 'the', 'cortical', 'thickness', 'and', 'intelligence', '.[8', ']', '\n', 'Another', 'study', 'has', 'found', 'that', 'the', 'somatosensory', 'cortex', 'is', 'thicker', 'in', 'migraine', 'sufferers', ',', 'though', 'it', 'is', 'not', 'known', 'if', 'this', 'is', 'the', 'result', 'of', 'migraine', 'attacks', 'or', 'the', 'cause', 'of', 'them', '.[9][10', ']', '\n', 'A', 'later', 'study', 'using', 'a', 'larger', 'patient', 'population', 'reports', 'no', 'change', 'in', 'the', 'cortical', 'thickness', 'in', 'migraine', 'sufferers', '.[11', ']', '\n', 'A', 'genetic', 'disorder', 'of', 'the', 'cerebral', 'cortex', ',', 'whereby', 'decreased', 'folding', 'in', 'certain', 'areas', 'results', 'in', 'a', 'microgyrus', ',', 'where', 'there', 'are', 'four', 'layers', 'instead', 'of', 'six', ',', 'is', 'in', 'some', 'instances', 'seen', 'to', 'be', 'related', 'to', 'dyslexia', '.[12', ']']",-3
english,"['When', 'did', 'the', 'case', 'of', 'R', '(', 'Factortame', 'Ltd', ')', 'v', 'Secretary', 'of', 'State', 'for', 'Transport', ' ', 'take', 'place', '?']","['R', '(', 'Factortame', 'Ltd', ')', 'v', 'Secretary', 'of', 'State', 'for', 'Transport']","['As', 'from', '31', 'March', '1989', ',', 'fishing', 'vessel', 'registrations', 'under', 'the', '1894', 'Act', 'would', 'lapse', 'and', 'the', 'owners', 'would', 'be', 'required', 'to', 're', '-', 'register', 'under', 'the', '1988', 'Act', '.', 'None', 'of', 'Factortame', ""'s"", 'vessels', 'could', 'satisfy', 'the', 'new', 'requirements', 'and', 'an', 'action', 'for', 'judicial', 'review', 'was', 'brought', 'by', 'its', 'owners', 'in', 'the', 'Divisional', 'Court', 'of', 'the', 'High', 'Court', 'of', 'Justice', 'of', 'England', 'and', 'Wales', 'in', 'December', '1988', '.']",-3
english,"['When', 'was', 'Quezon', 'City', 'founded', '?']","['Quezon', 'City']","['When', 'Quezon', 'City', 'was', 'created', 'in', '1939', ',', 'the', 'following', 'barrios', 'or', 'sitios', ':', 'Balingasa', ',', 'Balintawak', ',', 'Galas', ',', 'Kaingin', ',', 'Kangkong', ',', 'La', 'Loma', ',', 'Malamig', ',', 'Masambong', ',', 'Matalahib', ',', 'San', 'Isidro', ',', 'San', 'Jose', ',', 'Santol', ',', 'and', 'Tatalon', 'from', 'Caloocan', ';', 'Cubao', ',', 'the', 'western', 'half', 'of', 'Diliman', ',', 'Kamuning', ',', 'New', 'Manila', ',', 'Roxas', 'and', 'San', 'Francisco', 'del', 'Monte', 'from', 'San', 'Juan', ';', 'Balara', ',', 'Barangka', ',', 'the', 'eastern', 'half', 'of', 'Diliman', ',', 'Jesus', 'de', 'la', 'Peña', 'and', 'Krus', 'na', 'Ligas', 'from', 'Marikina', ';', 'Libis', ',', 'Santolan', 'and', 'Ugong', 'Norte', 'from', 'Pasig', 'and', 'some', 'barrios', 'from', 'Montalban', 'and', 'San', 'Mateo', 'were', 'to', 'be', 'given', 'to', 'the', 'new', 'capital', 'city', '.', 'Instead', 'of', 'opposing', 'them', ',', 'the', 'six', 'towns', 'willingly', 'gave', 'land', 'to', 'Quezon', 'City', 'in', 'the', 'belief', 'that', 'it', 'would', 'benefit', 'the', 'country', ""'s"", 'new', 'capital', '.', 'However', ',', 'in', '1941', ',', 'the', 'area', 'within', 'Wack', 'Wack', 'Golf', 'and', 'Country', 'Club', 'was', 'reverted', 'to', 'Mandaluyong', ',', 'and', 'Barangka', 'and', 'Jesus', 'de', 'la', 'Peña', 'to', 'Marikina', '.', 'In', 'addition', ',', 'the', 'land', 'of', 'Camp', 'Crame', 'was', 'originally', 'part', 'of', 'San', 'Juan', '.', ' ', 'On', '1', 'January', '1942', ',', 'President', 'Quezon', 'issued', 'an', 'executive', 'order', 'from', 'the', 'tunnel', 'of', 'Corregidor', 'designating', 'Jorge', 'Vargas', 'Mayor', 'of', 'Greater', 'Manila', ',', 'a', 'new', 'political', 'entity', 'comprising', ',', 'aside', 'from', 'Manila', 'proper', ',', 'Quezon', 'City', ',', 'Kalookan', ',', 'Pasay', ',', 'San', 'Juan', ',', 'Mandaluyong', ',', 'Makati', ',', 'and', 'Parañaque', '.', ' ', 'Greater', 'Manila', 'would', 'later', 'be', 'expanded', 'to', 'include', 'Las', 'Piñas', ',', 'Malabon', ',', 'and', 'Navotas', '.']",-3
english,"['When', 'was', 'the', 'first', 'automated', 'pool', 'cleaner', 'developed', '?']","['Automated', 'pool', 'cleaner']","['The', 'first', 'swimming', 'pool', 'cleaner', 'was', 'invented', 'in', '1912', 'by', 'Pittsburgh', ',', 'Pennsylvania', 'local', 'citizen', 'John', 'M.', 'Davison', '.', 'On', 'November', '26', ',', '1912', ',', 'he', 'submitted', 'a', 'patent', 'application', 'to', 'the', 'United', 'States', 'Patent', 'and', 'Trademark', 'Office', 'entitled', '""', 'Cleaning', 'Apparatus', 'For', 'Swimming', 'Pools', 'And', 'The', 'Like', ',', '""', 'patent', 'number', '1,056,779', 'that', 'was', 'issued', 'on', 'March', '25', ',', '1913', '.[4', ']']",-3
english,"['How', 'many', 'units', 'has', 'Agatha', 'Christie', 'sold', '?']","['Agatha', 'Christie']","['Guinness', 'World', 'Records', 'lists', 'Christie', 'as', 'the', 'best', '-', 'selling', 'novelist', 'of', 'all', 'time', '.', 'Her', 'novels', 'have', 'sold', 'roughly', '2', 'billion', 'copies', ',', 'and', 'her', 'estate', 'claims', 'that', 'her', 'works', 'come', 'third', 'in', 'the', 'rankings', 'of', 'the', 'world', ""'s"", 'most', '-', 'widely', 'published', 'books', ',[6', ']', 'behind', 'only', 'Shakespeare', ""'s"", 'works', 'and', 'the', 'Bible', '.', 'According', 'to', 'Index', 'Translationum', ',', 'she', 'remains', 'the', 'most', '-', 'translated', 'individual', 'author', ',', 'having', 'been', 'translated', 'into', 'at', 'least', '103', 'languages', '.[7', ']', 'And', 'Then', 'There', 'Were', 'None', 'is', 'Christie', ""'s"", 'best', '-', 'selling', 'novel', ',', 'with', '100', 'million', 'sales', 'to', 'date', ',', 'making', 'it', 'the', 'world', ""'s"", 'best', '-', 'selling', 'mystery', 'ever', ',', 'and', 'one', 'of', 'the', 'best', '-', 'selling', 'books', 'of', 'all', 'time', '.[8', ']', 'Christie', ""'s"", 'stage', 'play', 'The', 'Mousetrap', 'holds', 'the', 'world', 'record', 'for', 'longest', 'initial', 'run', '.', 'It', 'opened', 'at', 'the', 'Ambassadors', 'Theatre', 'in', 'the', 'West', 'End', 'on', '25', 'November', '1952', ',', 'and', 'as', 'of', 'September', '2018', 'is', 'still', 'running', 'after', 'more', 'than', '27,000', 'performances', '.[9][10', ']']",-3
english,"['When', 'was', 'Nájera', 'established', '?']",['Nájera'],"['The', 'town', 'was', 'conquered', 'by', 'Ordoño', 'II', 'of', 'Leon', 'for', 'Navarre', 'in', '923', '.', 'Nájera', 'was', 'the', 'capital', 'city', 'of', 'the', 'kingdom', 'of', 'Navarre', 'until', 'it', 'was', 'conquered', 'by', 'Castile', 'in', '1054', 'after', 'the', 'battle', 'of', 'Atapuerca', '.', 'However', ',', 'it', 'continued', 'to', 'be', 'multi', '-', 'cultural', '.', 'For', 'example', ',', 'in', '1142', 'the', 'French', 'abbot', 'Peter', 'the', 'Venerable', 'used', 'his', 'visit', 'to', 'Spain', 'to', 'commission', 'translations', 'of', 'important', 'Islamic', 'works', ',', 'including', 'the', 'first', 'translation', 'of', 'the', ""Qur'an"", 'into', 'a', 'European', 'language', ',', 'and', 'it', 'has', 'been', 'suggested', 'he', 'met', 'with', 'his', 'four', 'translators', 'at', 'Nájera', '.']",-3
english,"['When', 'was', 'the', 'Republican', 'People', ""'s"", 'Party', 'formed', 'in', 'Turkey', '?']","['Republican', 'People', ""'s"", 'Party', '(', 'Turkey', ')']","['The', 'political', 'party', 'was', 'established', 'during', 'the', 'Sivas', 'Congress', 'in', '1919', 'as', 'a', 'union', 'of', 'resistance', 'groups', 'against', 'the', 'Greek', 'invasion', 'of', 'Anatolia', '.', 'The', 'union', 'represented', 'Turkish', 'people', 'as', 'a', 'unified', 'front', 'during', 'the', 'Turkish', 'War', 'of', 'Independence', '(', '1919–1923', ')', '.', 'On', '9', 'September', '1923', ',', 'the', '""', 'People', ""'s"", 'Party', '""', 'declared', 'itself', 'to', 'be', 'a', 'political', 'organization', 'and', 'on', '29', 'October', '1923', ',', 'announced', 'the', 'establishment', 'of', 'the', 'Turkish', 'Republic', '.', 'On', '10', 'November', '1924', ',', 'the', 'People', ""'s"", 'Party', 'renamed', 'itself', 'the', '""', 'Republican', 'People', ""'s"", 'Party', '""', '(', 'CHP', ')', 'as', 'Turkey', 'moved', 'into', 'a', 'one', '-', 'party', 'period', '.']",-3
english,"['When', 'was', 'the', 'Normandy', 'Campaign', '?']","['Operation', 'Overlord']","['Operation', 'Overlord', 'was', 'the', 'codename', 'for', 'the', 'Battle', 'of', 'Normandy', ',', 'the', 'Allied', 'operation', 'that', 'launched', 'the', 'successful', 'invasion', 'of', 'German', '-', 'occupied', 'Western', 'Europe', 'during', 'World', 'War', 'II', '.', 'The', 'operation', 'was', 'launched', 'on', '6', 'June', '1944', 'with', 'the', 'Normandy', 'landings', '(', 'Operation', 'Neptune', ',', 'commonly', 'known', 'as', 'D', '-', 'Day', ')', '.', 'A', '1,200', '-', 'plane', 'airborne', 'assault', 'preceded', 'an', 'amphibious', 'assault', 'involving', 'more', 'than', '5,000', 'vessels', '.', 'Nearly', '160,000', 'troops', 'crossed', 'the', 'English', 'Channel', 'on', '6', 'June', ',', 'and', 'more', 'than', 'two', 'million', 'Allied', 'troops', 'were', 'in', 'France', 'by', 'the', 'end', 'of', 'August', '.']",-3
